TractName,TotalPopulation,MedianHouseholdIncome,MedianAge,state,county,tract,GEOID
Census Tract 301.01; Riverside County; California,1187,65250,27.3,06,065,030101,06065030101
Census Tract 301.03; Riverside County; California,2155,100074,33.9,06,065,030103,06065030103
Census Tract 301.04; Riverside County; California,7161,82177,29.6,06,065,030104,06065030104
Census Tract 302; Riverside County; California,4363,88623,35.8,06,065,030200,06065030200
Census Tract 303; Riverside County; California,4140,61985,33.0,06,065,030300,06065030300
Census Tract 304; Riverside County; California,7060,68415,29.1,06,065,030400,06065030400
Census Tract 305.01; Riverside County; California,4773,75130,30.6,06,065,030501,06065030501
Census Tract 305.02; Riverside County; California,2112,53092,30.9,06,065,030502,06065030502
Census Tract 305.03; Riverside County; California,3661,45069,28.3,06,065,030503,06065030503
Census Tract 306.02; Riverside County; California,3510,127212,44.1,06,065,030602,06065030602
Census Tract 306.03; Riverside County; California,2956,159018,45.5,06,065,030603,06065030603
Census Tract 306.04; Riverside County; California,2719,175597,50.0,06,065,030604,06065030604
Census Tract 306.05; Riverside County; California,2173,173777,47.9,06,065,030605,06065030605
Census Tract 307; Riverside County; California,6457,85909,35.7,06,065,030700,06065030700
Census Tract 308; Riverside County; California,7457,105022,36.2,06,065,030800,06065030800
Census Tract 309; Riverside County; California,3050,91394,36.3,06,065,030900,06065030900
Census Tract 310.01; Riverside County; California,4944,92765,40.6,06,065,031001,06065031001
Census Tract 310.02; Riverside County; California,5278,71233,31.6,06,065,031002,06065031002
Census Tract 311; Riverside County; California,4990,77766,31.9,06,065,031100,06065031100
Census Tract 312; Riverside County; California,6723,92009,34.6,06,065,031200,06065031200
Census Tract 313; Riverside County; California,2679,70278,31.9,06,065,031300,06065031300
Census Tract 314.01; Riverside County; California,7334,77650,32.5,06,065,031401,06065031401
Census Tract 314.02; Riverside County; California,7785,65227,32.7,06,065,031402,06065031402
Census Tract 315.01; Riverside County; California,7642,75631,22.3,06,065,031501,06065031501
Census Tract 315.03; Riverside County; California,4663,107344,38.5,06,065,031503,06065031503
Census Tract 315.04; Riverside County; California,4109,56955,34.0,06,065,031504,06065031504
Census Tract 316.01; Riverside County; California,4296,59688,32.3,06,065,031601,06065031601
Census Tract 316.02; Riverside County; California,4844,59926,35.2,06,065,031602,06065031602
Census Tract 317.01; Riverside County; California,3137,73611,38.6,06,065,031701,06065031701
Census Tract 317.02; Riverside County; California,1981,89226,35.7,06,065,031702,06065031702
Census Tract 317.03; Riverside County; California,3675,76944,37.5,06,065,031703,06065031703
Census Tract 317.04; Riverside County; California,4993,93333,37.8,06,065,031704,06065031704
Census Tract 401.01; Riverside County; California,3804,97474,34.1,06,065,040101,06065040101
Census Tract 401.02; Riverside County; California,6503,120799,31.7,06,065,040102,06065040102
Census Tract 402.01; Riverside County; California,7257,95417,29.8,06,065,040201,06065040201
Census Tract 402.02; Riverside County; California,2650,78125,41.4,06,065,040202,06065040202
Census Tract 402.03; Riverside County; California,3342,38879,28.7,06,065,040203,06065040203
Census Tract 402.04; Riverside County; California,3518,51208,28.3,06,065,040204,06065040204
Census Tract 403.02; Riverside County; California,9735,110681,36.1,06,065,040302,06065040302
Census Tract 403.03; Riverside County; California,3222,104405,36.6,06,065,040303,06065040303
